,Action,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,,0.01,1.0,1.0,0.0625,1.0,,0.0009999275207519531
1,,0.01,0.3333333333333333,1.3333333333333333,0.12499999999999999,1.3333333333333333,,0.0009999275207519531
2,,0.01,0.22222222222222232,1.5555555555555556,0.18055555555555555,1.5555555555555556,,0.002000093460083008
3,,0.01,0.2222222222222221,1.7037037037037037,0.2314814814814815,1.7037037037037037,,0.002000093460083008
4,,0.01,0.16049382716049387,1.8271604938271604,0.27854938271604934,1.8271604938271604,,0.002000093460083008
5,,0.01,0.14814814814814814,1.9218106995884772,0.3222736625514403,1.9218106995884772,,0.002000093460083008
6,,0.01,0.11659807956104251,2.0027434842249656,0.3631687242798353,2.0027434842249656,,0.002000093460083008
7,,0.01,0.10470964791952442,2.0685871056241423,0.4015203475080018,2.0685871056241423,,0.002000093460083008
8,,0.01,0.08824874256973025,2.125438195397043,0.4376143118427068,2.125438195397043,,0.002000093460083008
9,,0.01,0.07732561093329271,2.1733475588070923,0.47163478636386724,2.1733475588070923,,0.002000093460083008
10,,0.01,0.06936611966333062,2.215092550254873,0.5037585310504834,2.215092550254873,,0.002000093460083008
11,,0.01,0.06189210091054331,2.2511304171112125,0.5341513686373462,2.2511304171112125,,0.002000093460083008
12,,0.01,0.058149446504880076,2.282863008311365,0.5630515664015384,2.282863008311365,,0.002000093460083008
13,,0.01,0.05544234135742876,2.3107670152158626,0.5905991132286241,2.3107670152158626,,0.002000093460083008
14,,0.01,0.052607282213202655,2.3356181066613644,0.6170175235298409,2.3356181066613644,,0.002000093460083008
15,,0.01,0.05105935943413653,2.3578039079910402,0.6424644138400226,2.3578039079910402,,0.002000093460083008
16,,0.01,0.05040894984777122,2.377789286203704,0.6670253336485255,2.377789286203704,,0.002000093460083008
17,,0.01,0.050303637916269295,2.3958717087882255,0.6907691635405476,2.3958717087882255,,0.002000093460083008
18,,0.01,0.050061291415075315,2.4123525408074116,0.7137500618868918,2.4123525408074116,,0.002000093460083008
19,,0.01,0.04959465631153026,2.427457080102957,0.736011713027478,2.427457080102957,,0.002000093460083008
20,,0.01,0.04894845289288641,2.441388587593374,0.757590157386103,2.441388587593374,,0.002000093460083008
21,,0.01,0.04816620139131633,2.454307130053417,0.7785154451371155,2.454307130053417,,0.002000093460083008
22,,0.01,0.04727890203473206,2.4663514385219427,0.798813405284064,2.4663514385219427,,0.002000093460083008
23,,0.01,0.046314212196003623,2.477633734151155,0.8185065843097523,2.477633734151155,,0.003000020980834961
24,,0.01,0.0452929677482955,2.4882495890484764,0.8376151967775052,2.4882495890484764,,0.003000020980834961
25,,0.01,0.04423292397927747,2.4982775650383644,0.8561576622858231,2.4982775650383644,,0.003000020980834961
26,,0.01,0.04314781466105155,2.507784125491984,0.8741510963317959,2.507784125491984,,0.003000020980834961
27,,0.01,0.04204900860664118,2.5168245398997366,0.8916116027319021,2.5168245398997366,,0.003000020980834961
28,,0.01,0.04094538595771846,2.5254455624448457,0.9085545194971525,2.5254455624448457,,0.003000020980834961
29,,0.01,0.039844137733944684,2.53368647069205,0.9249945692684365,2.53368647069205,,0.003000020980834961
30,,0.01,0.03875087093148455,2.5415806393330618,0.9409459775784292,2.5415806393330618,,0.003000020980834961
31,,0.01,0.03767002949096687,2.5491564014577364,0.9564225453328614,2.5491564014577364,,0.003000020980834961
32,,0.01,0.036605034549388904,2.5564380243226346,0.9714377024561303,2.5564380243226346,,0.003000020980834961
33,,0.01,0.03555852372088353,2.5634463505122485,0.9860045400399806,2.5634463505122485,,0.003000020980834961
34,,0.01,0.03453247081605437,2.57019942445739,1.0001358327221241,2.57019942445739,,0.003000020980834961
35,,0.01,0.033528329989229944,2.5767129474218535,1.013844051483322,2.5767129474218535,,0.003000020980834961
36,,0.01,0.03254712524282333,2.5830006883821937,1.0271413720279057,2.5830006883821937,,0.003000020980834961
