,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
26,3,0.0770043145805155,0.7700431458051551,0.0,0.0,0.0,0.0,5,0.006000041961669922
27,0,0.07623427143471034,0.7623427143471035,0.0,0.0,0.0,0.0,5,0.006000041961669922
28,0,0.07547192872036323,0.7547192872036325,0.0,0.0,0.0,0.0,5,0.006000041961669922
29,3,0.0747172094331596,0.7471720943315961,0.0,0.0,0.0,0.0,5,0.006000041961669922
30,3,0.073970037338828,0.7397003733882802,0.0,0.0,0.0,0.0,5,0.006000041961669922
31,2,0.07323033696543972,0.7323033696543974,0.0,0.0,0.0,0.0,5,0.006000041961669922
32,0,0.07249803359578533,0.7249803359578534,0.0,0.0,0.0,0.0,5,0.006000041961669922
33,1,0.07177305325982747,0.7177305325982748,0.0,0.0,0.0,0.0,5,0.006000041961669922
34,0,0.0710553227272292,0.7105532272722921,0.0,0.0,0.0,0.0,5,0.006000041961669922
35,1,0.07034476949995691,0.7034476949995692,0.0,0.0,0.0,0.0,5,0.006999969482421875
36,1,0.06964132180495734,0.6964132180495735,0.0,0.0,0.0,0.0,5,0.006999969482421875
37,0,0.06894490858690777,0.6894490858690777,0.0,0.0,0.0,0.0,5,0.006999969482421875
38,0,0.06825545950103869,0.682554595010387,0.0,0.0,0.0,0.0,5,0.006999969482421875
39,0,0.0675729049060283,0.6757290490602831,0.0,0.0,0.0,0.0,5,0.006999969482421875
40,3,0.06689717585696801,0.6689717585696803,0.0,0.0,0.0,0.0,5,0.006999969482421875
41,3,0.06622820409839833,0.6622820409839835,0.0,0.0,0.0,0.0,5,0.006999969482421875
42,0,0.06556592205741435,0.6556592205741436,0.0,0.0,0.0,0.0,5,0.006999969482421875
43,0,0.0649102628368402,0.6491026283684022,0.0,0.0,0.0,0.0,5,0.006999969482421875
44,0,0.06426116020847181,0.6426116020847181,0.0,0.0,0.0,0.0,5,0.006999969482421875
45,3,0.06361854860638709,0.6361854860638709,0.0,0.0,0.0,0.0,5,0.006999969482421875
46,3,0.06298236312032322,0.6298236312032323,0.0,0.0,0.0,0.0,5,0.007999897003173828
47,0,0.06235253948911999,0.6235253948912,0.0,0.0,0.0,0.0,5,0.007999897003173828
48,1,0.06172901409422879,0.617290140942288,0.0,0.0,0.0,0.0,5,0.007999897003173828
49,0,0.061111723953286505,0.6111172395328651,0.0,0.0,0.0,0.0,5,0.007999897003173828
50,0,0.06050060671375364,0.6050060671375365,0.0,0.0,0.0,0.0,5,0.007999897003173828
51,2,0.0598956006466161,0.5989560064661611,0.0,0.0,0.0,0.0,5,0.007999897003173828
52,0,0.05929664464014994,0.5929664464014994,0.0,0.0,0.0,0.0,5,0.007999897003173828
53,0,0.05870367819374844,0.5870367819374844,0.0,0.0,0.0,0.0,5,0.007999897003173828
54,0,0.05811664141181096,0.5811664141181095,0.0,0.0,0.0,0.0,5,0.007999897003173828
55,3,0.05753547499769285,0.5753547499769285,0.0,0.0,0.0,0.0,5,0.007999897003173828
56,0,0.05696012024771592,0.5696012024771592,0.0,0.0,0.0,0.0,5,0.007999897003173828
57,0,0.05639051904523876,0.5639051904523876,0.0,0.0,0.0,0.0,5,0.009000062942504883
58,3,0.05582661385478637,0.5582661385478638,0.0,0.0,0.0,0.0,5,0.009000062942504883
