,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,0,0.1,1.0,0.0,0.0,0.0,0.0,15,0.0
1,0,0.099,0.99,0.0,0.0,0.0,0.0,15,0.0
2,2,0.09801,0.9801,0.0,0.0,0.0,0.0,15,0.0
3,3,0.0970299,0.9702989999999999,0.0,0.0,0.0,0.0,15,0.0
4,2,0.096059601,0.96059601,0.0,0.0,0.0,0.0,15,0.0
5,3,0.09509900499,0.9509900498999999,0.0,0.0,0.0,0.0,15,0.0
6,0,0.0941480149401,0.9414801494009999,0.0,0.0,0.0,0.0,15,0.0
7,2,0.093206534790699,0.9320653479069899,0.0,0.0,0.0,0.0,15,0.0
8,0,0.09227446944279201,0.92274469442792,0.0,0.0,0.0,0.0,15,0.0
9,0,0.09135172474836409,0.9135172474836407,0.0,0.0,0.0,0.0,15,0.0
10,0,0.09043820750088044,0.9043820750088043,0.0,0.0,0.0,0.0,15,0.0
11,2,0.08953382542587164,0.8953382542587163,0.0,0.0,0.0,0.0,15,0.0
12,3,0.08863848717161292,0.8863848717161291,0.0,0.0,0.0,0.0,15,0.0
13,3,0.08775210229989679,0.8775210229989678,0.0,0.0,0.0,0.0,15,0.0
14,1,0.08687458127689782,0.8687458127689781,0.0,0.0,0.0,0.0,15,0.0
15,2,0.08600583546412884,0.8600583546412883,0.0,0.0,0.0,0.0,15,0.0
16,3,0.08514577710948755,0.8514577710948754,0.0,0.0,0.0,0.0,15,0.0
17,1,0.08429431933839267,0.8429431933839266,0.0,0.0,0.0,0.0,15,0.0009999275207519531
18,0,0.08345137614500873,0.8345137614500874,0.0,0.0,0.0,0.0,15,0.0009999275207519531
19,3,0.08261686238355864,0.8261686238355865,0.0,0.0,0.0,0.0,15,0.0009999275207519531
20,0,0.08179069375972306,0.8179069375972307,0.0,0.0,0.0,0.0,15,0.0009999275207519531
21,0,0.08097278682212583,0.8097278682212583,0.0,0.0,0.0,0.0,15,0.0009999275207519531
22,0,0.08016305895390458,0.8016305895390458,0.0,0.0,0.0,0.0,15,0.0009999275207519531
23,0,0.07936142836436554,0.7936142836436553,0.0,0.0,0.0,0.0,15,0.0009999275207519531
24,2,0.07856781408072187,0.7856781408072188,0.0,0.0,0.0,0.0,15,0.0009999275207519531
25,3,0.07778213593991465,0.7778213593991465,0.0,0.0,0.0,0.0,15,0.0009999275207519531
26,0,0.0770043145805155,0.7700431458051551,0.0,0.0,0.0,0.0,15,0.0009999275207519531
27,1,0.07623427143471034,0.7623427143471035,0.0,0.0,0.0,0.0,15,0.0009999275207519531
28,1,0.07547192872036323,0.7547192872036325,0.0,0.0,0.0,0.0,15,0.0009999275207519531
29,0,0.0747172094331596,0.7471720943315961,0.0,0.0,0.0,0.0,15,0.0009999275207519531
30,1,0.073970037338828,0.7397003733882802,0.0,0.0,0.0,0.0,15,0.0009999275207519531
31,3,0.07323033696543972,0.7323033696543974,0.0,0.0,0.0,0.0,15,0.0009999275207519531
32,0,0.07249803359578533,0.7249803359578534,0.0,0.0,0.0,0.0,15,0.0009999275207519531
33,3,0.07177305325982747,0.7177305325982748,0.0,0.0,0.0,0.0,15,0.0009999275207519531
34,0,0.0710553227272292,0.7105532272722921,0.0,0.0,0.0,0.0,15,0.0009999275207519531
