,Action,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,,0.05,4.0,4.0,1.0004,4.0,,0.0280001163482666
1,,0.05,3.24,7.24,1.001658,7.24,,0.0559999942779541
2,,0.05,2.6244,9.9373,1.7315077599999997,9.9373,,0.0840001106262207
3,,0.05,2.1257640000000015,12.128674000000002,1.7985934394,12.128674000000002,,0.11400008201599121
4,,0.05,1.721868840000001,13.957421530000001,2.3368863672619997,13.957421530000001,,0.14299988746643066
5,,0.05,1.3947137604000015,15.448326111400002,2.4344686980364205,15.448326111400002,,0.1700000762939453
6,,0.05,1.1297181459240022,16.695997055833,2.8356729227605357,16.695997055833,,0.1979999542236328
7,,0.05,0.9150716981984424,17.71722627268954,2.9429742810413844,17.71722627268954,,0.22699999809265137
8,,0.05,0.7412080755407384,18.574565228232032,3.2450835466233925,18.574565228232032,,0.25799989700317383
9,,0.05,0.6003785411879994,19.279461561421606,3.3504718875096953,19.279461561421606,,0.2929999828338623
10,,0.05,0.4863066183622795,19.873342709762035,3.580122796599445,19.873342709762035,,0.3259999752044678
11,,0.05,0.39390836087344683,20.364068147615818,3.6775898223752215,20.364068147615818,,0.3580000400543213
12,,0.05,0.3190657723074932,20.779132227325263,3.853721498492203,20.779132227325263,,0.3880000114440918
13,,0.05,0.2584432755690691,21.12397397955609,3.940555140314812,21.12397397955609,,0.4159998893737793
14,,0.05,0.2093390532109467,21.416886635462923,4.07673564708261,21.416886635462923,,0.4460000991821289
15,,0.05,0.1695646331008671,21.66166751099009,4.152265584080146,21.66166751099009,,0.4739999771118164
16,,0.05,0.13734735281170396,21.870524686230226,4.258290796270165,21.870524686230226,,0.502000093460083
17,,0.05,0.1112513557774788,22.046134882193297,4.322855451463948,22.046134882193297,,0.5309998989105225
18,,0.05,0.09011359817975784,22.19667459204508,4.405927110358549,22.19667459204508,,0.556999921798706
19,,0.05,0.072992014525604,22.32405010707551,4.460445646090247,22.32405010707551,,0.5850000381469727
20,,0.05,0.0591235317657417,22.433761109622417,4.525896502676276,22.433761109622417,,0.6150000095367432
21,,0.05,0.047890060730250816,22.52717989405572,4.571523401003827,22.52717989405572,,0.6429998874664307
22,,0.05,0.038790949191501944,22.6080242209464,4.623330762877204,22.6080242209464,,0.6710000038146973
23,,0.05,0.03142066884511596,22.677292929720778,4.6612432151776,22.677292929720778,,0.7000000476837158
24,,0.05,0.025450741764545093,22.737513872470668,4.702413005179642,22.737513872470668,,0.7279999256134033
25,,0.05,0.020615100829281197,22.789422154186763,4.733748447023156,22.789422154186763,,0.7579998970031738
26,,0.05,0.01669823167171991,22.834748088425272,4.7665749199438,22.834748088425272,,0.7869999408721924
27,,0.05,0.013525567654093074,22.874038588389475,4.792367579667602,22.874038588389475,,0.815000057220459
28,,0.05,0.01095570979981808,22.90848706254061,4.818615157248084,22.90848706254061,,0.8440001010894775
29,,0.05,0.008874124937854333,22.938504675394643,4.839776837120393,22.938504675394643,,0.871999979019165
30,,0.05,0.007188041199662543,22.96492152352997,4.860813077015718,22.96492152352997,,0.9000000953674316
31,,0.05,0.005822313371727894,22.988049763143795,4.878130939000232,22.988049763143795,,0.9270000457763672
