,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,1,0.1,1.0,0.2,0.2,0.1,2.0,1,0.0009999275207519531
1,0,0.099,0.99,0.017820000000000003,0.2,0.10891,0.0,0,0.0009999275207519531
2,1,0.09801,0.9801,0.17798988438,0.37798988438000003,0.19790494219000002,2.0,1,0.0009999275207519531
3,0,0.0970299,0.9702989999999999,0.0001729072817999999,0.37798988438000003,0.1978184885491,0.0,0,0.0009999275207519531
4,0,0.096059601,0.96059601,0.030983429042700746,0.37798988438000003,0.2133102030704504,0.0,0,0.0009999275207519531
5,0,0.09509900499,0.9509900498999999,0.41274783567074086,0.41274783567074086,0.23068917871582081,4.0,1,0.0009999275207519531
6,1,0.0941480149401,0.9414801494009999,0.15682965297874618,0.5348195373587462,0.2917250295598235,2.0,1,0.0009999275207519531
7,1,0.093206534790699,0.9320653479069899,0.004079414176557517,0.5348195373587462,0.2917250295598235,0.0,0,0.0009999275207519531
8,1,0.09227446944279201,0.92274469442792,0.0036621942560126925,0.5348195373587462,0.2917250295598235,0.0,0,0.0009999275207519531
9,0,0.09135172474836409,0.9135172474836407,0.03952853641188811,0.5348195373587462,0.3114892977657675,0.0,0,0.0019998550415039062
10,0,0.09043820750088044,0.9043820750088043,0.3679559638612496,0.7807037995319905,0.4344314288523897,4.0,1,0.0019998550415039062
11,1,0.08953382542587164,0.8953382542587163,0.13828710771125646,0.7807037995319905,0.4344314288523897,2.0,1,0.0019998550415039062
12,1,0.08863848717161292,0.8863848717161291,0.006346652532481175,0.7807037995319905,0.4344314288523897,0.0,0,0.0019998550415039062
13,0,0.08775210229989679,0.8775210229989678,0.05392141702276329,0.7807037995319905,0.4613921373637713,0.0,0,0.0019998550415039062
14,0,0.08687458127689782,0.8687458127689781,0.34071599353902876,1.1214197930710192,0.6317501341332857,4.0,1,0.0019998550415039062
15,1,0.08600583546412884,0.8600583546412883,0.12511834653765574,1.1214197930710192,0.6317501341332857,2.0,1,0.0019998550415039062
16,0,0.08514577710948755,0.8514577710948754,0.07383819129968283,1.1214197930710192,0.6686692297831272,0.0,0,0.0019998550415039062
17,0,0.08429431933839267,0.8429431933839266,0.32772434553861846,1.4491441386096378,0.8325314025524364,4.0,1,0.0019998550415039062
18,1,0.08345137614500873,0.8345137614500874,0.11650661713600063,1.4491441386096378,0.8325314025524364,2.0,1,0.0019998550415039062
19,0,0.08261686238355864,0.8261686238355865,0.001783852275587833,1.4491441386096378,0.8316394764146424,0.0,0,0.0019998550415039062
20,0,0.08179069375972306,0.8179069375972307,0.08915961899611236,1.4491441386096378,0.8762192859126986,0.0,0,0.003000020980834961
